abiotrophia defectiva:::fph
acetivibrio aldrichii:::fph
acetivibrio alkalicellulosi:::fph
acetivibrio cellulolyticus:::fph
acetivibrio clariflavus:::fph
acetivibrio ethanolgignens:::fph
acetivibrio mesophilus:::fph
acetivibrio saccincola:::fph
acetivibrio straminisolvens:::fph
acetivibrio thermocellus:::fph
acetoanaerobium sticklandii:::fph
acetobacter aceti:::fph
acetobacter cerevisiae:::fph
acetobacter cibinongensis:::fph
acetobacter conturbans:::fph
acetobacter estunensis:::fph
acetobacter fabarum:::fph
acetobacter fallax:::fph
acetobacter farinalis:::fph
acetobacter garciniae:::fph
acetobacter ghanensis:::fph
acetobacter indonesiensis:::fph
acetobacter lambici:::fph
acetobacter lovaniensis:::fph
acetobacter malorum:::fph
acetobacter musti:::fph
acetobacter nitrogenifigens:::fph
acetobacter oeni:::fph
acetobacter okinawensis:::fph
acetobacter orientalis:::fph
acetobacter orleanensis:::fph
acetobacter oryzifermentans:::fph
acetobacter oryzoeni:::fph
acetobacter papayae:::fph
acetobacter pasteurianus:::fph
acetobacter persici:::fph
acetobacter pomorum:::fph
acetobacter sacchari:::fph
acetobacter senegalensis:::fph
acetobacter sicerae:::fph
acetobacter suratthaniensis:::fph
acetobacter syzygii:::fph
acetobacter thailandicus:::fph
acetobacter tropicalis:::fph
acetobacter vaccinii:::fph
acetobacter zythi:::fph
acholeplasma axanthum:::fph
acholeplasma brassicae:::fph
acholeplasma cavigenitalium:::fph
acholeplasma equifetale:::fph
acholeplasma equirhinis:::fph
acholeplasma granularum:::fph
acholeplasma hippikon:::fph
acholeplasma laidlawii:::fph
acholeplasma modicum:::fph
acholeplasma morum:::fph
acholeplasma multilocale:::fph
acholeplasma oculi:::fph
acholeplasma palmae:::fph
acholeplasma parvum:::fph
acholeplasma pleciae:::fph
acholeplasma vituli:::fph
achromobacter aegrifaciens:::fph
achromobacter aestuarii:::fph
achromobacter agilis:::fph
achromobacter aloeverae:::fph
achromobacter animicus:::fph
achromobacter anxifer:::fph
achromobacter deleyi:::fph
achromobacter denitrificans:::fph
achromobacter dolens:::fph
achromobacter insolitus:::fph
achromobacter insuavis:::fph
achromobacter kerstersii:::fph
achromobacter marplatensis:::fph
achromobacter mucicolens:::fph
achromobacter pestifer:::fph
achromobacter piechaudii:::fph
achromobacter pulmonis:::fph
achromobacter ruhlandii:::fph
achromobacter seleniivolatilans:::fph
achromobacter spanius:::fph
achromobacter veterisilvae:::fph
achromobacter xylosoxidans:::fph
acidaminococcus fermentans:::fph
acidaminococcus hominis:::fph
acidaminococcus intestini:::fph
acidaminococcus nyctereutis:::fph
acidiphilium acidophilum:::fph
acidiphilium angustum:::fph
acidiphilium cryptum:::fph
acidiphilium iwatense:::fph
acidiphilium multivorum:::fph
acidiphilium organovorum:::fph
acidiphilium rubrum:::fph
acidipropionibacterium acidipropionici:::fph
acidipropionibacterium damnosum:::fph
acidipropionibacterium jensenii:::fph
acidipropionibacterium microaerophilum:::fph
acidipropionibacterium olivae:::fph
acidipropionibacterium thoenii:::fph
acidocella aminolytica:::fph
acidocella facilis:::fph
acidomonas methanolica:::fph
acidovorax anthurii:::fph
acidovorax avenae:::fph
acidovorax bellezanensis:::fph
acidovorax benzenivorans:::fph
acidovorax caeni:::fph
acidovorax carolinensis:::fph
acidovorax cattleyae:::fph
acidovorax citrulli:::fph
acidovorax defluvii:::fph
acidovorax delafieldii:::fph
acidovorax facilis:::fph
acidovorax kalamii:::fph
acidovorax konjaci:::fph
acidovorax lacteus:::fph
acidovorax monticola:::fph
acidovorax oryzae:::fph
acidovorax radicis:::fph
acidovorax sacchari:::fph
acidovorax soli:::fph
acidovorax temperans:::fph
acidovorax valerianellae:::fph
acidovorax wautersii:::fph
acinetobacter albensis:::fph
acinetobacter amyesii:::fph
acinetobacter apis:::fph
acinetobacter baretiae:::fph
acinetobacter baumannii:::fph
acinetobacter baylyi:::fph
acinetobacter beijerinckii:::fph
acinetobacter bereziniae:::fph
acinetobacter bohemicus:::fph
acinetobacter boissieri:::fph
acinetobacter bouvetii:::fph
acinetobacter brisouii:::fph
acinetobacter brisouioides:::fph
acinetobacter brisouisimilis:::fph
acinetobacter calcoaceticus:::fph
acinetobacter celticus:::fph
acinetobacter chengduensis:::fph
acinetobacter chenhuanii:::fph
acinetobacter chinensis:::fph
acinetobacter colistiniresistens:::fph
acinetobacter corruptisaponis:::fph
acinetobacter courvalinii:::fph
acinetobacter cumulans:::fph
acinetobacter defluvii:::fph
acinetobacter dispersus:::fph
acinetobacter entericus:::fph
acinetobacter equi:::fph
acinetobacter faecalis:::fph
acinetobacter gandensis:::fph
acinetobacter geminorum:::fph
acinetobacter gerneri:::fph
acinetobacter guerrae:::fph
acinetobacter guillouiae:::fph
acinetobacter gyllenbergii:::fph
acinetobacter haemolyticus:::fph
acinetobacter halobius:::fph
acinetobacter halotolerans:::fph
acinetobacter harbinensis:::fph
acinetobacter higginsii:::fph
acinetobacter ihumii:::fph
acinetobacter indicus:::fph
acinetobacter johnsonii:::fph
acinetobacter junii:::fph
acinetobacter kanungonis:::fph
acinetobacter kookii:::fph
acinetobacter lactucae:::fph
acinetobacter lanii:::fph
acinetobacter larvae:::fph
acinetobacter lwoffii:::fph
acinetobacter modestus:::fph
acinetobacter nectaris:::fph
acinetobacter nematophilus:::fph
acinetobacter nosocomialis:::fph
acinetobacter oleivorans:::fph
acinetobacter parvus:::fph
acinetobacter pecorum:::fph
acinetobacter piscicola:::fph
acinetobacter pittii:::fph
acinetobacter pollinis:::fph
acinetobacter populi:::fph
acinetobacter portensis:::fph
acinetobacter pragensis:::fph
acinetobacter proteolyticus:::fph
acinetobacter pseudolwoffii:::fph
acinetobacter puyangensis:::fph
acinetobacter qingfengensis:::fph
acinetobacter radioresistens:::fph
acinetobacter rathckeae:::fph
acinetobacter rudis:::fph
acinetobacter schindleri:::fph
acinetobacter sedimenti:::fph
acinetobacter seifertii:::fph
acinetobacter shaoyimingii:::fph
acinetobacter sichuanensis:::fph
acinetobacter silvestris:::fph
acinetobacter soli:::fph
acinetobacter stercoris:::fph
acinetobacter suaedae:::fph
acinetobacter tandoii:::fph
acinetobacter terrae:::fph
acinetobacter terrestris:::fph
acinetobacter thermotolerans:::fph
acinetobacter tibetensis:::fph
acinetobacter tjernbergiae:::fph
acinetobacter towneri:::fph
acinetobacter uliginosus:::fph
acinetobacter ursingii:::fph
acinetobacter variabilis:::fph
acinetobacter venetianus:::fph
acinetobacter vivianii:::fph
acinetobacter wanghuae:::fph
acinetobacter wuhouensis:::fph
acinetobacter yuyunsongii:::fph
acinetobacter zhairuonensis:::fph
actinoallomurus spadix:::fph
actinoalloteichus caeruleus:::fph
actinobacillus anseriformium:::fph
actinobacillus arthritidis:::fph
actinobacillus capsulatus:::fph
actinobacillus delphinicola:::fph
actinobacillus equuli equuli:::fph
actinobacillus equuli haemolyticus:::fph
actinobacillus equuli:::fph
actinobacillus hominis:::fph
actinobacillus indolicus:::fph
actinobacillus lignieresii:::fph
actinobacillus minor:::fph
actinobacillus pleuropneumoniae:::fph
actinobacillus porcinus:::fph
actinobacillus rossii:::fph
actinobacillus scotiae:::fph
actinobacillus seminis:::fph
actinobacillus succinogenes:::fph
actinobacillus suis:::fph
actinobacillus ureae:::fph
actinobacillus vicugnae:::fph
actinobaculum suis:::fph
actinocorallia aurantiaca:::fph
actinocorallia glomerata:::fph
actinocorallia libanotica:::fph
actinocorallia longicatena:::fph
actinokineospora fastidiosa:::fph
actinomadura adrarensis:::fph
actinomadura alba:::fph
actinomadura algeriensis:::fph
actinomadura alkaliterrae:::fph
actinomadura apis:::fph
actinomadura atramentaria:::fph
actinomadura bangladeshensis:::fph
actinomadura barringtoniae:::fph
actinomadura chibensis:::fph
actinomadura chokoriensis:::fph
actinomadura citrea:::fph
actinomadura coerulea:::fph
actinomadura craniellae:::fph
actinomadura cremea:::fph
actinomadura darangshiensis:::fph
actinomadura decatromicini:::fph
actinomadura deserti:::fph
actinomadura fibrosa:::fph
actinomadura flavalba:::fph
actinomadura formosensis:::fph
actinomadura fulvescens:::fph
actinomadura gamaensis:::fph
actinomadura geliboluensis:::fph
actinomadura graeca:::fph
actinomadura hallensis:::fph
actinomadura hankyongensis:::fph
actinomadura harenae:::fph
actinomadura hibisca:::fph
actinomadura jiaoheensis:::fph
actinomadura keratinilytica:::fph
actinomadura kijaniata:::fph
actinomadura latina:::fph
actinomadura lepetitiana:::fph
actinomadura litoris:::fph
actinomadura livida:::fph
actinomadura logoneensis:::fph
actinomadura luteofluorescens:::fph
actinomadura macra:::fph
actinomadura macrotermitis:::fph
actinomadura madurae:::fph
actinomadura meridiana:::fph
actinomadura mexicana:::fph
actinomadura meyerae:::fph
actinomadura miaoliensis:::fph
actinomadura montaniterrae:::fph
actinomadura monticuli:::fph
actinomadura namibiensis:::fph
actinomadura napierensis:::fph
actinomadura nitritigenes:::fph
actinomadura oligospora:::fph
actinomadura parmotrematis:::fph
actinomadura pelletieri:::fph
actinomadura physcomitrii:::fph
actinomadura rayongensis:::fph
actinomadura rhizosphaerae:::fph
actinomadura rifamycini:::fph
actinomadura roseirufa:::fph
actinomadura rubrisoli:::fph
actinomadura rubteroloni:::fph
actinomadura rudentiformis:::fph
actinomadura rugatobispora:::fph
actinomadura rupiterrae:::fph
actinomadura scrupuli:::fph
actinomadura sediminis:::fph
actinomadura soli:::fph
actinomadura spongiicola:::fph
actinomadura sporangiiformans:::fph
actinomadura sputi:::fph
actinomadura syzygii:::fph
actinomadura terrae:::fph
actinomadura verrucosospora:::fph
actinomadura vinacea:::fph
actinomadura violacea:::fph
actinomadura viridilutea:::fph
actinomadura viridis:::fph
actinomadura xylanilytica:::fph
actinomadura yumaensis:::fph
actinomyces acetigenes:::fph
actinomyces bovis:::fph
actinomyces bowdenii:::fph
actinomyces capricornis:::fph
actinomyces catuli:::fph
actinomyces dentalis:::fph
actinomyces denticolens:::fph
actinomyces faecalis:::fph
actinomyces gaoshouyii:::fph
actinomyces gerencseriae:::fph
actinomyces graevenitzii:::fph
actinomyces haliotis:::fph
actinomyces howellii:::fph
actinomyces israelii:::fph
actinomyces johnsonii:::fph
actinomyces lilanjuaniae:::fph
actinomyces marmotae:::fph
actinomyces massiliensis:::fph
actinomyces naeslundii:::fph
actinomyces oralis:::fph
actinomyces oricola:::fph
actinomyces oris:::fph
actinomyces procaprae:::fph
actinomyces qiguomingii:::fph
actinomyces radicidentis:::fph
actinomyces respiraculi:::fph
actinomyces ruminicola:::fph
actinomyces slackii:::fph
actinomyces stomatis:::fph
actinomyces timonensis:::fph
actinomyces trachealis:::fph
actinomyces urogenitalis:::fph
actinomyces viscosus:::fph
actinomyces vulturis:::fph
actinomyces weissii:::fph
actinomyces wuliandei:::fph
actinopolymorpha alba:::fph
actinopolymorpha cephalotaxi:::fph
actinopolymorpha pittospori:::fph
actinopolymorpha rutila:::fph
actinopolymorpha singaporensis:::fph
actinotalea fermentans:::fph
actinotignum sanguinis:::fph
actinotignum schaalii:::fph
actinotignum urinale:::fph
adlercreutzia agrestimuris:::fph
adlercreutzia aquisgranensis:::fph
adlercreutzia caecicola:::fph
adlercreutzia caecimuris:::fph
adlercreutzia equolifaciens celata:::fph
adlercreutzia equolifaciens equolifaciens:::fph
adlercreutzia equolifaciens:::fph
adlercreutzia faecimuris:::fph
adlercreutzia hattorii:::fph
adlercreutzia mucosicola:::fph
adlercreutzia murintestinalis:::fph
adlercreutzia muris:::fph
adlercreutzia rubneri:::fph
adlercreutzia shanghongiae:::fph
adlercreutzia wanghongyangiae:::fph
advenella alkanexedens:::fph
advenella faeciporci:::fph
advenella incenata:::fph
advenella kashmirensis kashmirensis:::fph
advenella kashmirensis methylica:::fph
advenella kashmirensis:::fph
advenella mandrilli:::fph
advenella mimigardefordensis:::fph
aedoeadaptatus acetigenes:::fph
aegyptianella pullorum:::fph
aeribacillus pallidus:::fph
aerococcus agrisoli:::fph
aerococcus christensenii:::fph
aerococcus kribbianus:::fph
aerococcus loyolae:::fph
aerococcus mictus:::fph
aerococcus sanguinicola:::fph
aerococcus suis:::fph
aerococcus tenax:::fph
aerococcus urinae:::fph
aerococcus urinaeequi:::fph
aerococcus urinaehominis:::fph
aerococcus vaginalis:::fph
aerococcus viridans:::fph
aeromonas allosaccharophila:::fph
aeromonas aquatica:::fph
aeromonas australiensis:::fph
aeromonas bestiarum:::fph
aeromonas bivalvium:::fph
aeromonas caviae:::fph
aeromonas dhakensis:::fph
aeromonas diversa:::fph
aeromonas encheleia:::fph
aeromonas enteropelogenes:::fph
aeromonas eucrenophila:::fph
aeromonas finlandensis:::fph
aeromonas fluvialis:::fph
aeromonas hydrophila hydrophila:::fph
aeromonas hydrophila ranae:::fph
aeromonas hydrophila:::fph
aeromonas ichthiosmia:::fph
aeromonas ichthyocola:::fph
aeromonas jandaei:::fph
aeromonas lacus:::fph
aeromonas lusitana:::fph
aeromonas media:::fph
aeromonas molluscorum:::fph
aeromonas mytilicola mytilicola:::fph
aeromonas mytilicola:::fph
aeromonas piscicola:::fph
aeromonas popoffii:::fph
aeromonas rivipollensis:::fph
aeromonas rivuli:::fph
aeromonas salmonicida achromogenes:::fph
aeromonas salmonicida masoucida:::fph
aeromonas salmonicida oncorhynchi:::fph
aeromonas salmonicida pectinolytica:::fph
aeromonas salmonicida salmonicida:::fph
aeromonas salmonicida smithia:::fph
aeromonas salmonicida:::fph
aeromonas sanarellii:::fph
aeromonas schubertii:::fph
aeromonas simiae:::fph
aeromonas sobria:::fph
aeromonas taiwanensis:::fph
aeromonas tecta:::fph
aeromonas veronii:::fph
affinirhizobium helianthi:::fph
affinirhizobium lemnae:::fph
affinirhizobium pseudoryzae:::fph
affinirhizobium rhizoryzae:::fph
afipia birgiae:::fph
afipia broomeae:::fph
afipia carboxidovorans:::fph
afipia carboxydohydrogena:::fph
afipia clevelandensis:::fph
afipia dichlorophenoxyacetatis:::fph
afipia felis:::fph
afipia massiliensis:::fph
agathobacter rectalis:::fph
agathobacter ruminis:::fph
agathobaculum desmolans:::fph
aggregatibacter actinomycetemcomitans:::fph
aggregatibacter aphrophilus:::fph
aggregatibacter kilianii:::fph
aggregatibacter segnis:::fph
agitococcus lubricus:::fph
agrilactobacillus composti:::fph
agrilactobacillus yilanensis:::fph
agrobacterium arsenijevicii:::fph
agrobacterium burrii:::fph
agrobacterium cavarae:::fph
agrobacterium cucumeris:::fph
agrobacterium deltae:::fph
agrobacterium divergens:::fph
agrobacterium fabacearum:::fph
agrobacterium larrymoorei:::fph
agrobacterium leguminum:::fph
agrobacterium nepotum:::fph
agrobacterium pusense:::fph
agrobacterium radiobacter:::fph
agrobacterium rosae:::fph
agrobacterium rubi:::fph
agrobacterium salinitolerans:::fph
agrobacterium shirazense:::fph
agrobacterium skierniewicense:::fph
agrobacterium tomkonis:::fph
agrobacterium tumefaciens:::fph
agrobacterium vaccinii:::fph
agrobacterium vacciniicorymbosi:::fph
alcaligenes aquatilis:::fph
alcaligenes endophyticus:::fph
alcaligenes faecalis faecalis:::fph
alcaligenes faecalis parafaecalis:::fph
alcaligenes faecalis phenolicus:::fph
alcaligenes faecalis:::fph
alcaligenes nematophilus:::fph
alcaligenes pakistanensis:::fph
aldersonia kunmingensis:::fph
algicola bacteriolytica:::fph
algicola sagamiensis:::fph
alicyclobacillus acidiphilus:::fph
alicyclobacillus acidocaldarius acidocaldarius:::fph
alicyclobacillus acidocaldarius rittmannii:::fph
alicyclobacillus acidocaldarius:::fph
alicyclobacillus acidoterrestris:::fph
alicyclobacillus aeris:::fph
alicyclobacillus cellulosilyticus:::fph
alicyclobacillus contaminans:::fph
alicyclobacillus curvatus:::fph
alicyclobacillus cycloheptanicus:::fph
alicyclobacillus dauci:::fph
alicyclobacillus disulfidooxidans:::fph
alicyclobacillus fastidiosus:::fph
alicyclobacillus ferrooxydans:::fph
alicyclobacillus fodiniaquatilis:::fph
alicyclobacillus fructus:::fph
alicyclobacillus herbarius:::fph
alicyclobacillus hesperidum aegles:::fph
alicyclobacillus hesperidum hesperidum:::fph
alicyclobacillus hesperidum:::fph
alicyclobacillus kakegawensis:::fph
alicyclobacillus macrosporangiidus:::fph
alicyclobacillus mali:::fph
alicyclobacillus mengziensis:::fph
alicyclobacillus montanus:::fph
alicyclobacillus pomorum:::fph
alicyclobacillus sacchari:::fph
alicyclobacillus sendaiensis:::fph
alicyclobacillus shizuokensis:::fph
alicyclobacillus suci:::fph
alicyclobacillus tengchongensis:::fph
alicyclobacillus tolerans:::fph
alicyclobacillus vulcanalis:::fph
aliirhizobium cellulosilyticum:::fph
aliirhizobium smilacinae:::fph
aliirhizobium wenxiniae:::fph
aliivibrio finisterrensis:::fph
aliivibrio fischeri:::fph
aliivibrio logei:::fph
aliivibrio salmonicida:::fph
aliivibrio sifiae:::fph
aliivibrio wodanis:::fph
alishewanella aestuarii:::fph
alishewanella agri:::fph
alishewanella alkalitolerans:::fph
alishewanella fetalis:::fph
alishewanella jeotgali:::fph
alishewanella maricola:::fph
alishewanella solinquinati:::fph
alishewanella tabrizica:::fph
alistipes communis:::fph
alistipes dispar:::fph
alistipes finegoldii:::fph
alistipes hominis:::fph
alistipes ihumii:::fph
alistipes indistinctus:::fph
alistipes inops:::fph
alistipes intestinihominis:::fph
alistipes montrealensis:::fph
alistipes muris:::fph
alistipes onderdonkii onderdonkii:::fph
alistipes onderdonkii vulgaris:::fph
alistipes onderdonkii:::fph
alistipes provencensis:::fph
alistipes putredinis:::fph
alistipes senegalensis:::fph
alistipes shahii:::fph
alistipes timonensis:::fph
alitibacter langaaensis:::fph
alkalibacillus haloalkaliphilus:::fph
alkalicoccobacillus gibsonii:::fph
alkalicoccobacillus murimartini:::fph
alkalicoccus chagannorensis:::fph
alkalicoccus daliensis:::fph
alkalicoccus luteus:::fph
alkalicoccus saliphilus:::fph
alkalicoccus urumqiensis:::fph
alkalidesulfovibrio alkalitolerans:::fph
alkalihalobacillus alcalophilus:::fph
alkalihalobacillus algicola:::fph
alkalihalobacillus alkalilacus:::fph
alkalihalobacillus hemicentroti:::fph
alkalihalobacillus pseudalcaliphilus:::fph
alkalihalobacillus trypoxylicola:::fph
alkalihalobacterium alkalicellulosilyticum:::fph
alkalihalobacterium alkalinitrilicum:::fph
alkalihalobacterium bogoriense:::fph
alkalihalophilus lindianensis:::fph
alkalihalophilus marmarensis:::fph
alkalihalophilus pseudofirmus:::fph
alkalithermobacter paradoxus:::fph
alkalithermobacter thermoalcaliphilus:::fph
alkanindiges hongkongensis:::fph
alkanindiges illinoisensis:::fph
allobaculum fili:::fph
allobaculum mucilyticum:::fph
allobaculum stercoricanis:::fph
allocoenonia anatina:::fph
allocoprococcus comes:::fph
allofrancisella guangzhouensis:::fph
allofranklinella schreckenbergeri:::fph
alloiococcus otitis:::fph
alloprevotella rava:::fph
alloprevotella tannerae:::fph
allorhizobium borbori:::fph
allorhizobium oryzae:::fph
allorhizobium oryziradicis:::fph
allorhizobium paknamense:::fph
allorhizobium taibaishanense:::fph
allorhizobium undicola:::fph
allorhizobium vitis:::fph
allosaccharopolyspora coralli:::fph
alloscardovia criceti:::fph
alloscardovia macacae:::fph
alloscardovia omnicolens:::fph
alloscardovia theropitheci:::fph
alloscardovia venturai:::fph
allosphingosinicella indica:::fph
alteribacillus iranensis:::fph
alteribacillus persepolensis:::fph
alteribacter aurantiacus:::fph
alteribacter lacisalsi:::fph
alteribacter natronophilus:::fph
alteribacter populi:::fph
alteristakelama amylovorans:::fph
alterococcus agarolyticus:::fph
alteromonas aestuariivivens:::fph
alteromonas alba:::fph
alteromonas algae:::fph
alteromonas alteriprofundi:::fph
alteromonas alterisediminis:::fph
alteromonas antoniana:::fph
alteromonas aquimaris:::fph
alteromonas arenosi:::fph
alteromonas australica:::fph
alteromonas chungwhensis:::fph
alteromonas confluentis:::fph
alteromonas facilis:::fph
alteromonas flava:::fph
alteromonas fortis:::fph
alteromonas genovensis:::fph
alteromonas gilva:::fph
alteromonas gracilis:::fph
alteromonas halophila:::fph
alteromonas hispanica:::fph
alteromonas iocasae:::fph
alteromonas lipolytica:::fph
alteromonas lipotrueae:::fph
alteromonas lipotrueiana:::fph
alteromonas litorea:::fph
alteromonas lutimaris:::fph
alteromonas macleodii:::fph
alteromonas marina:::fph
alteromonas mediterranea:::fph
alteromonas naphthalenivorans:::fph
alteromonas nigrifaciens:::fph
alteromonas nitratireducens:::fph
alteromonas oceani:::fph
alteromonas pelagimontana:::fph
alteromonas ponticola:::fph
alteromonas portus:::fph
alteromonas profundi:::fph
alteromonas salexigens:::fph
alteromonas sediminis:::fph
alteromonas simiduii:::fph
alteromonas stellipolaris:::fph
alteromonas tagae:::fph
alteromonas ulvae:::fph
amedibacillus dolichus:::fph
aminobacter aminovorans:::fph
aminomonas paucivorans:::fph
amycolatopsis acidicola:::fph
amycolatopsis acididurans:::fph
amycolatopsis acidiphila:::fph
amycolatopsis aidingensis:::fph
amycolatopsis alba:::fph
amycolatopsis albidoflava:::fph
amycolatopsis albispora:::fph
amycolatopsis alkalitolerans:::fph
amycolatopsis anabasis:::fph
amycolatopsis antarctica:::fph
amycolatopsis arida:::fph
